Gender,University,Age,C_test,Proficiency,Experience1,Experience2,Experience3,Experience 4,,,Ideal_pre1,Ideal_pre2,Ideal_pre3,Ideal_pre4,Ideal_pre5,Ideal_pre6,Ought_pre1,Ought_pre2,Ought_pre3,Ought_pre4,Ought_pre5,Ought_pre6,L2LE_pre1,L2LE_pre2,L2LE_pre3,L2LE_pre4,L2LE_pre5,L2LE_pre6,HP,LP
2,2,24,125,2,3,4,4,3,, ,6,3,5,5,5,4,3,4,2,2,3,1,4,5,2,2,3,3,125,102
2,4,23,122,2,3,4,4,5,, ,5,3,5,5,5,4,3,3,3,5,5,1,4,2,5,3,4,3,122,95
2,3,24,113,2,3,3,5,3,, ,5,5,5,6,5,5,6,4,6,5,5,3,3,4,5,4,4,4,113,88
1,3,25,127,2,3,3,3,5,, ,6,6,6,5,6,6,6,5,5,5,2,3,5,5,6,2,2,3,127,104
1,3,23,105,2,5,6,5,4,, ,5,6,6,5,6,6,4,5,6,5,3,2,2,1,2,4,4,3,105,61
1,2,22,61,1,3,4,4,4, , ,4,3,5,4,5,6,5,4,4,3,5,3,3,4,4,3,3,4,,
2,4,24,78,1,4,3,3,3, , ,4,3,4,4,5,3,2,2,3,5,2,3,4,4,4,2,3,3,,
2,3,24,102,1,4,5,4,6, , ,4,4,5,5,4,5,4,3,4,5,6,3,3,1,5,4,5,3,,
1,3,25,127,2,3,3,3,4,, ,6,6,6,5,6,6,6,5,5,5,2,3,5,5,6,2,2,3,127,104
2,4,23,90,1,3,2,3,5, , ,2,3,3,4,3,3,4,5,4,3,6,6,5,4,2,3,3,3,,
1,4,25,105,2,4,5,5,4,, ,5,5,4,5,5,5,4,4,5,5,5,4,4,3,5,5,5,4,105,61
1,3,24,113,2,2,6,6,6,, ,3,3,2,1,1,1,1,1,3,4,6,1,1,1,1,1,5,5,113,88
2,4,22,106,2,4,5,4,1,, ,2,2,3,5,4,5,3,4,3,3,4,1,3,1,3,4,4,3,106,63
1,3,22,122,2,1,6,1,1,, ,5,1,6,6,6,6,6,6,4,6,6,1,6,6,4,3,2,4,122,95
1,3,25,123,2,2,3,3,3,, ,6,2,5,5,5,4,3,3,5,6,2,2,5,3,5,2,5,4,123,99
1,3,25,110,2,2,3,4,4,, ,5,5,5,5,4,4,3,3,4,4,2,2,2,2,4,4,4,4,110,78
2,3,23,125,2,3,4,4,5,, ,6,4,5,5,4,5,3,5,3,3,4,2,4,5,3,3,3,3,125,100
2,1,22,121,2,6,6,6,3,, ,6,3,4,5,6,6,5,6,6,5,5,2,4,5,5,3,4,3,121,90
2,3,25,122,2,4,4,4,5,, ,6,4,5,5,5,6,6,5,6,4,4,2,4,5,5,3,4,3,122,94
1,3,23,110,2,4,5,5,4,, ,6,4,5,5,4,4,5,3,4,5,5,2,3,4,5,3,4,4,110,71
2,4,22,99,1,2,5,5,1, , ,4,2,5,5,2,4,4,4,6,5,1,2,5,2,5,2,5,2,,
2,4,26,88,1,3,4,4,1, , ,1,1,1,2,2,2,2,1,2,2,4,2,2,1,3,3,3,3,,
2,3,22,71,1,5,5,5,4, , ,3,3,3,4,4,5,5,3,4,4,2,5,2,1,3,3,5,5,,
2,3,22,94,1,6,4,5,6, , ,5,3,6,6,6,5,4,2,2,6,3,6,6,5,4,1,3,3,,
2,4,23,104,1,6,6,6,1, , ,4,5,5,5,4,6,5,3,6,5,5,2,3,1,3,5,5,3,,
2,4,23,95,1,4,4,4,2, , ,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,5,3,,
2,3,22,88,1,2,1,1,2, , ,4,4,5,6,4,4,3,3,2,6,5,3,3,2,3,4,4,2,,
2,4,24,61,1,1,2,2,5, , ,3,3,4,4,3,4,3,3,4,3,6,2,3,2,3,4,3,4,,
2,4,22,100,1,2,2,2,6, , ,6,5,6,5,5,4,6,6,5,6,2,3,6,4,3,3,3,3,,
2,4,24,95,1,3,3,2,2, , ,6,6,6,6,5,4,5,5,5,6,5,4,5,3,3,4,4,3,,
